_id,checked,grade,orderid,price,pronum,title,weight,year,createTime,navid,picurl
b00064a7605061930a47c2b16fc875e8,TRUE,寿眉一级,15,580/饼,LM-2020002,窖龄老白茶,300g,2015年,1615880595223 ,ObjectId(63b9600be1a35c358c18483b),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/ca83c929-fdf1-4642-a643-e2c7ace3f0f4.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/15fda74f-4623-4143-b600-b66c7e2246bd"",""width"":460},""name"":""窖龄老白茶.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/ca83c929-fdf1-4642-a643-e2c7ace3f0f4.jpg"",""size"":48502,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/ca83c929-fdf1-4642-a643-e2c7ace3f0f4.jpg""}"
79550af260ab4b6819afbabd45fd9f57,TRUE,白毫银针一级,1,7376/盒,LM-2021006,六妙白毫银针,500g,2021年,1621838696535 ,ObjectId(63b9600be1a35c358c18483b),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/7c138fe7-b875-4db3-b4f8-6d162abda117.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/b282faf1-5ad5-4714-a05c-96720bf17556"",""width"":460},""name"":""六妙白毫银针.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/7c138fe7-b875-4db3-b4f8-6d162abda117.jpg"",""size"":46911,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/7c138fe7-b875-4db3-b4f8-6d162abda117.jpg""}"
79550af26050b26b0a629bba4ab47287,TRUE,贡眉一级,9,1732/条,J-LM161703,砖为你来·花香贡眉,45gX9盒,2016年,1615901291596 ,ObjectId(63b960bb819ce8421657614a),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/4821912f-9dcc-4974-b18d-a187533f1de7.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/148d9758-13f9-4b52-a1d7-a75e3b818e0c"",""width"":460},""name"":""砖为你来·花香贡眉.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/4821912f-9dcc-4974-b18d-a187533f1de7.jpg"",""size"":29955,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/4821912f-9dcc-4974-b18d-a187533f1de7.jpg""}"
79550af26050b9300a6366120bae854d,TRUE,福鼎白茶,13,17188/套,QS-LM612,华茶壹号,1500g,2012年,1615903024299 ,ObjectId(63b9612af5cf3a165a3ccb43),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/1d7a109d-fcca-4032-8406-1a90d53d5a42.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/a710ebd4-f3a7-4dba-80d9-7ed807f9c160"",""width"":460},""name"":""华茶壹号.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/1d7a109d-fcca-4032-8406-1a90d53d5a42.jpg"",""size"":36503,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/1d7a109d-fcca-4032-8406-1a90d53d5a42.jpg""}"
28ee4e3e605074aa0af677906c3b80fe,TRUE,一级贡眉,10,566元/饼,LM-2020051,喜上眉梢,300g,2017年,1615885482157 ,ObjectId(63b96087819ce84216575a3c),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/ce6677e1-27b0-47d1-8b16-1b5b8157730f.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/e24a1621-b99e-45fa-b05c-38b0059c8b12"",""width"":460},""name"":""喜上眉梢.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/ce6677e1-27b0-47d1-8b16-1b5b8157730f.jpg"",""size"":63646,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/ce6677e1-27b0-47d1-8b16-1b5b8157730f.jpg""}"
b00064a76050b30f0a54f3aa0aa253d2,TRUE,贡眉一级,10,760/袋,J-LM201725,立秋茶,150gX2饼,2017年,1615901455430 ,ObjectId(63b960ebf5cf3a165a3cc27f),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/d2bd5dd8-e926-4174-89e9-a744b0877767.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/e97daa18-db8e-47ac-80bb-3a040987685e"",""width"":460},""name"":""立秋茶.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/d2bd5dd8-e926-4174-89e9-a744b0877767.jpg"",""size"":27448,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/d2bd5dd8-e926-4174-89e9-a744b0877767.jpg""}"
b00064a76050b1070a54b11504604c16,TRUE,寿眉丨陈皮,7,358/罐,LM-2020013,七年宝（2013年）,60g,2013年,1615900934756 ,ObjectId(63b960abf5cf3a165a3cb9db),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/c6934631-9275-4d47-b062-2e74e8e95b5f.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/db4193ce-fecc-4d14-a8a1-91f5c855e014"",""width"":460},""name"":""七年宝（2013年）.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/c6934631-9275-4d47-b062-2e74e8e95b5f.jpg"",""size"":38463,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/c6934631-9275-4d47-b062-2e74e8e95b5f.jpg""}"
b00064a76050b3cd0a550ad50b996430,TRUE,寿眉二级,9,328/袋,J-LM201728,寒露茶,150gX2饼,2017年,1615901645093 ,ObjectId(63b960ebf5cf3a165a3cc27f),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/894101b2-31f8-43ba-bdc5-b42af702066f.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/3a1ea254-a7ab-4f6e-8311-f249deafb6f8"",""width"":460},""name"":""寒露茶.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/894101b2-31f8-43ba-bdc5-b42af702066f.jpg"",""size"":34266,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/894101b2-31f8-43ba-bdc5-b42af702066f.jpg""}"
28ee4e3e60505dbe0af0e6a30739bb36,TRUE,贡眉一级,16,926/饼,LM-20197088,六妙黄印,300g,2016年,1615879614400 ,ObjectId(63b9600be1a35c358c18483b),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/c06d9b1c-5cb1-4d29-8515-d47658b467a5.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/2821e578-b118-4035-b525-1f0c6bc4e152"",""width"":460},""name"":""六妙黄印.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/c06d9b1c-5cb1-4d29-8515-d47658b467a5.jpg"",""size"":40871,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/c06d9b1c-5cb1-4d29-8515-d47658b467a5.jpg""}"
79550af2605065680a564ca22c991f8f,TRUE,白牡丹一级,12,1776/饼,LM-20207166,新款大红印,300g,2017年,1615881576108 ,,"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/4541b3e5-0ffe-4753-b3e9-579940beb0b7.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/2b2f1c0a-1075-48fe-8eed-0385d5189a8b"",""width"":460},""name"":""新款大红印.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/4541b3e5-0ffe-4753-b3e9-579940beb0b7.jpg"",""size"":27933,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/4541b3e5-0ffe-4753-b3e9-579940beb0b7.jpg""}"
